date,type,value
2022-04-10,Viewers,5
2022-04-09,Viewers,5
2022-04-08,Editors,3
2022-04-08,Viewers,27
2022-04-07,Editors,1
2022-04-07,Viewers,29
2022-04-06,Editors,3
2022-04-06,Viewers,36
2022-04-05,Viewers,47
2022-04-05,Editors,7
2022-04-04,Viewers,32
2022-04-04,Editors,3
2022-04-03,Viewers,2
2022-04-02,Viewers,7
2022-04-02,Editors,1
2022-04-01,Viewers,40
2022-04-01,Editors,5
2022-03-31,Editors,3
2022-03-31,Viewers,41
2022-03-30,Viewers,35
2022-03-30,Editors,2
2022-03-29,Editors,5
2022-03-29,Viewers,44
2022-03-28,Viewers,35
2022-03-28,Editors,4
2022-03-27,Viewers,5
2022-03-26,Viewers,9
2022-03-25,Viewers,27
2022-03-25,Editors,3
2022-03-24,Viewers,33
2022-03-24,Editors,3
2022-03-23,Viewers,48
2022-03-23,Editors,5
2022-03-22,Viewers,37
2022-03-22,Editors,2
2022-03-21,Editors,3
2022-03-21,Viewers,30
2022-03-20,Viewers,5
2022-03-19,Viewers,4
2022-03-18,Viewers,25
2022-03-18,Editors,3
2022-03-17,Viewers,25
2022-03-17,Editors,4
2022-03-16,Viewers,36
2022-03-16,Editors,4
2022-03-15,Editors,4
2022-03-15,Viewers,27
2022-03-14,Editors,4
2022-03-14,Viewers,25
2022-03-13,Viewers,3
2022-03-12,Viewers,8
2022-03-11,Editors,2
2022-03-11,Viewers,31
2022-03-10,Editors,6
2022-03-10,Viewers,39
2022-03-09,Viewers,36
2022-03-09,Editors,2
2022-03-08,Editors,3
2022-03-08,Viewers,44
2022-03-07,Editors,4
2022-03-07,Viewers,34
2022-03-06,Viewers,4
2022-03-05,Viewers,7
2022-03-04,Editors,3
2022-03-04,Viewers,30
2022-03-03,Editors,3
2022-03-03,Viewers,24
2022-03-02,Editors,5
2022-03-02,Viewers,29
2022-03-01,Editors,4
2022-03-01,Viewers,33
2022-02-28,Editors,7
2022-02-28,Viewers,31
2022-02-27,Viewers,3
2022-02-26,Viewers,10
2022-02-25,Viewers,34
2022-02-25,Editors,1
2022-02-24,Editors,6
2022-02-24,Viewers,33
2022-02-23,Editors,6
2022-02-23,Viewers,44
2022-02-22,Viewers,29
2022-02-22,Editors,1
2022-02-21,Viewers,10
2022-02-20,Viewers,5
2022-02-19,Viewers,5
2022-02-18,Editors,1
2022-02-18,Viewers,17
2022-02-17,Editors,3
2022-02-17,Viewers,28
2022-02-16,Viewers,35
2022-02-16,Editors,5
2022-02-15,Viewers,51
2022-02-15,Editors,1
2022-02-14,Viewers,33
2022-02-14,Editors,2
2022-02-13,Viewers,7
2022-02-12,Viewers,7
2022-02-11,Viewers,49
2022-02-11,Editors,2
2022-02-10,Editors,3
2022-02-10,Viewers,43
2022-02-09,Editors,2
2022-02-09,Viewers,48
2022-02-08,Viewers,49
2022-02-08,Editors,4
2022-02-07,Editors,4
2022-02-07,Viewers,58
2022-02-06,Viewers,5
2022-02-05,Viewers,6
2022-02-04,Viewers,37
2022-02-04,Editors,1
2022-02-03,Viewers,135
2022-02-03,Editors,4
2022-02-02,Editors,4
2022-02-02,Viewers,9
2022-02-01,Viewers,10
2022-02-01,Editors,4
2022-01-31,Viewers,7
2022-01-31,Editors,3
2022-01-30,Viewers,1
2022-01-29,Viewers,5
2022-01-29,Editors,1
2022-01-28,Viewers,11
2022-01-28,Editors,3
2022-01-27,Viewers,13
2022-01-27,Editors,3
2022-01-26,Editors,4
2022-01-26,Viewers,7
2022-01-25,Editors,4
2022-01-25,Viewers,6
2022-01-24,Viewers,8
2022-01-24,Editors,3
2022-01-23,Editors,1
2022-01-23,Viewers,1
2022-01-22,Viewers,2
2022-01-21,Editors,4
2022-01-21,Viewers,9
2022-01-20,Editors,2
2022-01-20,Viewers,4
2022-01-19,Viewers,4
2022-01-19,Editors,3
2022-01-18,Editors,2
2022-01-18,Viewers,3
2022-01-15,Viewers,1
2022-01-14,Editors,1
2022-01-14,Viewers,2
2022-01-13,Editors,3
2022-01-13,Viewers,3
2022-01-12,Viewers,2
2022-01-12,Editors,2
2022-01-11,Viewers,3
2022-01-11,Editors,3
2022-01-10,Viewers,2
2022-01-10,Editors,2
2022-01-09,Viewers,1
2022-01-08,Viewers,1
2022-01-07,Viewers,3
2022-01-07,Editors,3
2022-01-06,Viewers,3
2022-01-06,Editors,3
2022-01-05,Editors,2
2022-01-05,Viewers,2
2022-01-04,Editors,2
2022-01-04,Viewers,2
2022-01-03,Viewers,3
2022-01-03,Editors,3
2022-01-02,Viewers,1
