,dte,var,q
0,2022-03-25,Viewers,27
1,2022-01-30,Viewers,1
2,2022-03-03,Editors,3
3,2022-04-04,Viewers,32
4,2022-01-27,Viewers,13
5,2022-01-28,Viewers,11
6,2022-02-24,Editors,6
7,2022-02-16,Viewers,35
8,2022-02-25,Viewers,34
9,2022-02-23,Editors,6
10,2022-01-23,Editors,1
11,2022-03-05,Viewers,7
12,2022-01-12,Viewers,2
13,2022-03-17,Viewers,25
14,2022-02-18,Editors,1
15,2022-01-05,Editors,2
16,2022-04-02,Viewers,7
17,2022-04-01,Viewers,40
18,2022-03-04,Editors,3
19,2022-01-31,Viewers,7
20,2022-02-08,Viewers,49
21,2022-04-05,Viewers,47
22,2022-03-07,Editors,4
23,2022-02-06,Viewers,5
24,2022-01-04,Editors,2
25,2022-04-01,Editors,5
26,2022-01-21,Editors,4
27,2022-04-09,Viewers,5
28,2022-03-14,Editors,4
29,2022-03-08,Editors,3
30,2022-01-06,Viewers,3
31,2022-02-24,Viewers,33
32,2022-01-19,Viewers,4
33,2022-03-27,Viewers,5
34,2022-01-29,Viewers,5
35,2022-03-19,Viewers,4
36,2022-01-26,Editors,4
37,2022-01-27,Editors,3
38,2022-04-08,Editors,3
39,2022-02-03,Viewers,135
40,2022-02-15,Viewers,51
41,2022-04-06,Editors,3
42,2022-01-10,Viewers,2
43,2022-04-06,Viewers,36
44,2022-02-15,Editors,1
45,2022-03-12,Viewers,8
46,2022-01-19,Editors,3
47,2022-03-29,Editors,5
48,2022-04-03,Viewers,2
49,2022-01-22,Viewers,2
50,2022-03-15,Editors,4
51,2022-02-04,Viewers,37
52,2022-03-31,Editors,3
53,2022-02-12,Viewers,7
54,2022-04-10,Viewers,5
55,2022-03-23,Viewers,48
56,2022-01-24,Viewers,8
57,2022-02-22,Viewers,29
58,2022-02-02,Editors,4
59,2022-02-01,Viewers,10
60,2022-03-24,Viewers,33
61,2022-04-07,Editors,1
62,2022-01-26,Viewers,7
63,2022-01-31,Editors,3
64,2022-03-18,Viewers,25
65,2022-03-22,Viewers,37
66,2022-01-07,Viewers,3
67,2022-02-17,Editors,3
68,2022-03-30,Viewers,35
69,2022-03-09,Viewers,36
70,2022-04-02,Editors,1
71,2022-01-06,Editors,3
72,2022-01-23,Viewers,1
73,2022-03-15,Viewers,27
74,2022-01-14,Editors,1
75,2022-01-11,Viewers,3
76,2022-02-13,Viewers,7
77,2022-02-14,Viewers,33
78,2022-03-11,Editors,2
79,2022-01-13,Editors,3
80,2022-03-28,Viewers,35
81,2022-01-28,Editors,3
82,2022-02-07,Editors,4
83,2022-03-25,Editors,3
84,2022-03-04,Viewers,30
85,2022-03-06,Viewers,4
86,2022-02-05,Viewers,6
87,2022-04-05,Editors,7
88,2022-02-28,Editors,7
89,2022-03-09,Editors,2
90,2022-01-11,Editors,3
91,2022-02-16,Editors,5
92,2022-02-27,Viewers,3
93,2022-03-10,Editors,6
94,2022-03-21,Editors,3
95,2022-03-26,Viewers,9
96,2022-02-10,Editors,3
97,2022-02-09,Editors,2
98,2022-02-01,Editors,4
99,2022-02-21,Viewers,10
100,2022-01-21,Viewers,9
101,2022-01-20,Editors,2
102,2022-01-24,Editors,3
103,2022-02-19,Viewers,5
104,2022-03-20,Viewers,5
105,2022-02-10,Viewers,43
106,2022-03-16,Viewers,36
107,2022-02-26,Viewers,10
108,2022-03-23,Editors,5
109,2022-03-11,Viewers,31
110,2022-03-29,Viewers,44
111,2022-01-12,Editors,2
112,2022-02-23,Viewers,44
113,2022-03-01,Editors,4
114,2022-01-04,Viewers,2
115,2022-02-02,Viewers,9
116,2022-03-17,Editors,4
117,2022-01-03,Viewers,3
118,2022-03-21,Viewers,30
119,2022-02-28,Viewers,31
120,2022-01-20,Viewers,4
121,2022-03-28,Editors,4
122,2022-03-08,Viewers,44
123,2022-04-04,Editors,3
124,2022-02-14,Editors,2
125,2022-03-31,Viewers,41
126,2022-01-13,Viewers,3
127,2022-01-09,Viewers,1
128,2022-01-18,Editors,2
129,2022-01-10,Editors,2
130,2022-02-08,Editors,4
131,2022-02-18,Viewers,17
132,2022-01-18,Viewers,3
133,2022-04-08,Viewers,27
134,2022-03-13,Viewers,3
135,2022-01-02,Viewers,1
136,2022-03-03,Viewers,24
137,2022-02-17,Viewers,28
138,2022-02-09,Viewers,48
139,2022-01-07,Editors,3
140,2022-01-25,Editors,4
141,2022-01-05,Viewers,2
142,2022-02-11,Viewers,49
143,2022-03-30,Editors,2
144,2022-03-02,Editors,5
145,2022-03-02,Viewers,29
146,2022-02-03,Editors,4
147,2022-01-08,Viewers,1
148,2022-04-07,Viewers,29
149,2022-03-01,Viewers,33
150,2022-02-04,Editors,1
151,2022-01-25,Viewers,6
152,2022-03-22,Editors,2
153,2022-01-15,Viewers,1
154,2022-03-18,Editors,3
155,2022-01-14,Viewers,2
156,2022-02-22,Editors,1
157,2022-01-03,Editors,3
158,2022-02-11,Editors,2
159,2022-01-29,Editors,1
160,2022-03-16,Editors,4
161,2022-03-14,Viewers,25
162,2022-02-25,Editors,1
163,2022-02-20,Viewers,5
164,2022-03-24,Editors,3
165,2022-02-07,Viewers,58
166,2022-03-07,Viewers,34
167,2022-03-10,Viewers,39
